,Player_ID,GAME_DATE,MIN,REB,FGA,DAYS_REST
134,977,2012-12-16,40,4,21,-2
135,977,2012-12-14,44,7,29,-2
136,977,2012-12-13,44,10,24,-1
137,977,2012-12-11,41,5,28,-2
138,977,2012-12-09,43,0,24,-2
139,977,2012-12-07,44,3,24,-2
140,977,2012-12-05,34,6,17,-2
141,977,2012-12-04,35,6,31,-1
142,977,2012-12-02,39,7,27,-2
143,977,2012-11-30,37,2,15,-2
144,977,2012-11-27,44,10,28,-3
145,977,2012-11-24,33,3,11,-3
146,977,2012-11-23,37,3,23,-1
147,977,2012-11-21,39,3,20,-2
148,977,2012-11-20,39,4,15,-1
149,977,2012-11-18,35,11,18,-2
150,977,2012-11-16,38,2,24,-2
151,977,2012-11-13,38,4,19,-3
152,977,2012-11-11,34,6,15,-2
153,977,2012-11-09,33,9,18,-2
154,977,2012-11-07,37,5,17,-2
155,977,2012-11-04,32,7,10,-3
156,977,2012-11-02,43,6,23,-2
157,977,2012-10-31,38,6,20,-2
158,977,2012-10-30,35,1,14,-1
159,2544,2013-04-14,35,7,12,0
160,2544,2013-04-12,29,6,10,-2
161,2544,2013-04-09,30,7,16,-3
162,2544,2013-04-06,30,4,17,-3
163,2544,2013-03-29,32,4,20,-8
164,2544,2013-03-27,40,7,17,-2
165,2544,2013-03-25,39,9,16,-2
166,2544,2013-03-24,34,8,14,-1
167,2544,2013-03-22,40,8,15,-2
168,2544,2013-03-20,42,12,22,-2
169,2544,2013-03-18,42,7,29,-2
170,2544,2013-03-17,34,12,12,-1
171,2544,2013-03-15,38,10,24,-2
172,2544,2013-03-13,37,7,19,-2
173,2544,2013-03-12,30,7,11,-1
174,2544,2013-03-10,36,6,10,-2
175,2544,2013-03-08,34,10,17,-2
176,2544,2013-03-06,38,3,14,-2
177,2544,2013-03-04,35,10,16,-2
178,2544,2013-03-03,43,11,23,-1
179,2544,2013-03-01,42,8,14,-2
180,2544,2013-02-26,48,8,23,-3
181,2544,2013-02-24,39,3,19,-2
