Date,Team,Acquired,Relinquished,Notes
2017-01-01,Heat,,Hassan Whiteside,right eye injury (DTD)
2017-01-01,Heat,,Justise Winslow,torn labrum in right shoulder (out for season)
2017-01-01,Jazz,,George Hill,placed on IL
2017-01-01,Kings,,Ty Lawson,sinus fracture (DTD)
2017-01-01,Lakers,,Ron Artest,placed on IL
2017-01-01,Lakers,Ivica Zubac,,activated from IL
2017-01-01,Magic,,Stephen Zimmerman Jr.,placed on IL
2017-01-01,Magic,Arinze Onuaku,,"""activated"""
2017-01-01,Pistons,,Aron Baynes,sprained left ankle (DTD)
2017-01-01,Pistons,Marcus Morris,,returned to lineup
2017-01-01,Spurs,Kawhi Leonard,,returned to lineup
2017-01-02,Bulls,,Dwyane Wade,placed on IL with swelling in knee
2017-01-02,Bulls,Paul Zipser,,activated from IL
2017-01-02,Celtics,,Tyler Zeller,sinus ailment (DTD)
2017-01-02,Hornets,,Cody Zeller,placed on IL with concussion (DTD)
2017-01-02,Hornets,Christian Wood,,activated from IL
2017-01-02,Jazz,Alec Burks,,activated from IL
2017-01-02,Knicks,,Marshall Plumlee,placed on IL
2017-01-02,Knicks,Courtney Lee,,returned to lineup
2017-01-02,Knicks,Kyle O'Quinn,,activated from IL
2017-01-02,Magic,Damjan Rudez,,returned to lineup
2017-01-02,Nets,Joe Harris,,returned to lineup
2017-01-02,Nuggets,,Darrell Arthur,placed on IL with sore left knee
2017-01-02,Nuggets,,Kenneth Faried,placed on IL with sore lower back
2017-01-02,Nuggets,Alonzo Gee,,activated from IL
2017-01-02,Nuggets,Malik Beasley,,activated from IL
2017-01-02,Warriors,,Damian Jones,placed on IL
2017-01-02,Warriors,,JaVale McGee,illness (DTD)
2017-01-02,Warriors,Anderson Varejao,,activated from IL
2017-01-02,Wizards,Bradley Beal,,returned to lineup
2017-01-02,Jazz,,Joel Bolomboy,placed on IL
2017-01-03,76ers,Jahlil Okafor,,returned to lineup
2017-01-03,Bulls,,Denzel Valentine,sore/sprained left ankle (DTD)
2017-01-03,Celtics,,James Young,placed on IL with sprained right ankle
2017-01-03,Celtics,,Tyler Zeller,placed on IL with illness
2017-01-03,Celtics,Avery Bradley,,returned to lineup
2017-01-03,Celtics,Demetrius Jackson,,activated from IL
2017-01-03,Celtics,Jordan Mickey,,activated from IL
2017-01-03,Heat,,James Johnson,illness (DTD)
2017-01-03,Heat,,Tyler Johnson,migraine headache (DTD)
2017-01-03,Heat,Goran Dragic,,returned to lineup
2017-01-03,Kings,,Giorgios Papagiannis ,placed on IL
2017-01-03,Kings,,Skal Labissiere,placed on IL
2017-01-03,Kings,Arron Afflalo,,activated from IL
2017-01-03,Mavericks,,A.J. Hammons,placed on IL
2017-01-03,Mavericks,Andrew Bogut,,activated from IL
2017-01-03,Nuggets,,Alonzo Gee,placed on IL
2017-01-03,Nuggets,Darrell Arthur,,activated from IL
2017-01-03,Pelicans,,Quincy Pondexter,arthroscopic surgery on left knee (out for season)
2017-01-03,Pistons,,Michael Gbinije,left forearm injury (DTD)
2017-01-03,Suns,,Brandon Knight,sprained right wrist / migraine headache (DTD)
2017-01-03,Kings,Rudy Gay,,activated from IL
2017-01-03,Kings,,Rudy Gay,strained right hip flexor (DTD)
2017-01-04,Bucks,Miles Plumlee,,returned to lineup
2017-01-04,Bulls,,Denzel Valentine,placed on IL with sore/sprained left ankle
2017-01-04,Bulls,Dwyane Wade,,activated from IL
2017-01-04,Cavaliers,,Kevin Love,illness (DTD)
2017-01-04,Cavaliers,Mike Dunleavy Jr.,,returned to lineup
2017-01-04,Grizzlies,,JaMychal Green,fractured facial bone (DTD)
2017-01-04,Heat,,Josh McRoberts,placed on IL with stress fracture in left foot
2017-01-04,Heat,Dion Waiters,,activated from IL
2017-01-04,Heat,James Johnson,,returned to lineup
2017-01-04,Heat,Tyler Johnson,,returned to lineup
2017-01-04,Hornets,Marco Belinelli,,activated from IL
2017-01-04,Kings,Ty Lawson,,returned to lineup
2017-01-04,Knicks,Marshall Plumlee,,activated from IL
2017-01-04,Magic,Evan Fournier,,activated from IL
2017-01-04,Nets,,Rondae Hollis-Jefferson,right hip tendinitis (DTD)
2017-01-04,Warriors,,James McAdoo ,placed on IL
2017-01-04,Warriors,Patrick McCaw,,activated from IL
2017-01-04,76ers,Richaun Holmes,,returned to lineup
2017-01-04,Grizzlies,Troy Williams,,activated from IL
2017-01-04,Knicks,,Maurice N'dour,placed on IL
2017-01-04,Magic,,C.J. Wilcox,placed on IL
2017-01-05,Blazers,,Tim Quarterman,placed on IL
2017-01-05,Blazers,Damian Lillard,,activated from IL
2017-01-05,Bucks,,Michael Beasley,placed on IL
2017-01-05,Heat,,Justise Winslow,surgery on right shoulder to repair torn labrum (out for season)
2017-01-05,Jazz,,George Hill,placed on IL with concussion
2017-01-05,Jazz,Dante Exum,,activated from IL
2017-01-05,Lakers,,Ivica Zubac,placed on IL
2017-01-05,Lakers,,Luol Deng,right biceps tendinitis (DTD)
2017-01-05,Lakers,Ron Artest,,activated from IL
2017-01-05,Nuggets,,Juan Hernangomez,placed on IL
2017-01-05,Nuggets,Alonzo Gee,,activated from IL
2017-01-05,Pacers,Rakeem Christmas,,activated from IL
2017-01-05,Pelicans,,Donatas Motiejunas,placed on IL
2017-01-05,Rockets,,Bobby Brown,placed on IL
2017-01-05,Rockets,Patrick Beverley,,returned to lineup
2017-01-05,Suns,Brandon Knight,,returned to lineup
2017-01-05,Nuggets,Kenneth Faried,,activated from IL
2017-01-05,Pacers,,Georges Niang,placed on IL
2017-01-05,Nuggets,,Kenneth Faried,sore lower back (DTD)
2017-01-05,Rockets,Chinanu Onuaku,,activated from IL
2017-01-06,76ers,Gerald Henderson Jr.,,returned to lineup
2017-01-06,Bucks,,Miles Plumlee,finger injury (DTD)
2017-01-06,Cavaliers,,J.R. Smith,placed on IL recovering from surgery on right thumb to repair fracture
2017-01-06,Cavaliers,Kevin Love,,returned to lineup
2017-01-06,Cavaliers,Kyrie Irving,,returned to lineup
2017-01-06,Celtics,,Jordan Mickey,illness (DTD)
2017-01-06,Clippers,Chris Paul,,returned to lineup
2017-01-06,Grizzlies,JaMychal Green,,returned to lineup
2017-01-06,Hornets,,Nicolas Batum,hyperextended/strained right knee (DTD)
2017-01-06,Kings,Rudy Gay,,returned to lineup
2017-01-06,Knicks,Kristaps Porzingis,,activated from IL
2017-01-06,Lakers,Luol Deng,,returned to lineup
2017-01-06,Nets,Rondae Hollis-Jefferson,,returned to lineup
2017-01-06,Nuggets,,Nikola Jokic,illness (DTD)
2017-01-06,Timberwolves,,Shabazz Muhammad,placed on IL with illness
2017-01-06,Timberwolves,John Lucas III,,activated from IL
2017-01-06,Warriors,,Damian Jones,placed on IL
2017-01-06,Warriors,Anderson Varejao,,activated from IL
2017-01-06,Knicks,,Marshall Plumlee,placed on IL
2017-01-07,Bulls,,Paul Zipser,placed on IL
2017-01-07,Bulls,Denzel Valentine,,activated from IL
2017-01-07,Celtics,,Avery Bradley,placed on IL with Achilles injury / sprained ankle / illness
2017-01-07,Celtics,,James Young,placed on IL
2017-01-07,Hawks,Taurean Prince,,activated from IL
2017-01-07,Heat,,Josh Richardson,sprained left foot (DTD)
2017-01-07,Hornets,,Christian Wood,placed on IL
2017-01-07,Hornets,,Nicolas Batum,placed on IL with hyperextended/strained right knee
2017-01-07,Hornets,Cody Zeller,,activated from IL
2017-01-07,Jazz,,Raul Neto,placed on IL
2017-01-07,Jazz,George Hill,,activated from IL
2017-01-07,Mavericks,Jose Barea ,,activated from IL
2017-01-07,Nuggets,,Gary Harris,sore groin (DTD)
2017-01-07,Nuggets,Kenneth Faried,,activated from IL
2017-01-07,Pacers,,Rakeem Christmas,placed on IL
2017-01-07,Pelicans,,Cheick Diallo,placed on IL
2017-01-07,Pelicans,Donatas Motiejunas,,activated from IL
2017-01-07,Spurs,,David Lee,bruised left knee (DTD)
2017-01-07,Thunder,,Kyle Singler,placed on IL
2017-01-07,Timberwolves,Shabazz Muhammad,,activated from IL
2017-01-07,Pacers,Georges Niang,,activated from IL
2017-01-07,Thunder,Cameron Payne,,activated from IL
2017-01-07,Hawks,,Mike Dunleavy Jr.,placed on IL
2017-01-08,76ers,Sergio Rodriguez,,returned to lineup
2017-01-08,Bucks,,Giannis Antetokounmpo,illness (DTD)
2017-01-08,Bucks,Matthew Dellavedova,,returned to lineup
2017-01-08,Clippers,,Austin Rivers,illness (DTD)
2017-01-08,Heat,,Luke Babbitt,flu (DTD)
2017-01-08,Heat,Hassan Whiteside,,returned to lineup
2017-01-08,Lakers,,Ron Artest,placed on IL
2017-01-08,Magic,C.J. Wilcox,,activated from IL
2017-01-08,Pistons,Aron Baynes,,returned to lineup
2017-01-08,Pistons,Michael Gbinije,,returned to lineup
2017-01-08,Raptors,Patrick Patterson,,returned to lineup
2017-01-08,Rockets,Bobby Brown,,activated from IL
2017-01-08,Rockets,,Kyle Wiltjer,placed on IL
2017-01-08,Lakers,Ivica Zubac,,activated from IL
2017-01-09,Bulls,,Denzel Valentine,placed on IL
2017-01-09,Bulls,Paul Zipser,,activated from IL
2017-01-09,Hornets,,Cody Zeller,illness (DTD)
2017-01-09,Knicks,,Mindaugas Kuzminskas,illness (DTD)
2017-01-09,Knicks,,Mindaugas Kuzminskas,placed on IL
2017-01-09,Knicks,Maurice N'dour,,activated from IL
2017-01-09,Mavericks,,Nicolas Brussino,placed on IL
2017-01-09,Nets,,Trevor Booker,bruised left hip (DTD)
2017-01-09,Pelicans,,Omer Asik,placed on IL
2017-01-09,Pelicans,Cheick Diallo,,activated from IL
2017-01-09,Rockets,,Eric Gordon,sore left big toe (DTD)
2017-01-10,Bucks,,Steve Novak,placed on IL
2017-01-10,Bucks,Giannis Antetokounmpo,,returned to lineup
2017-01-10,Bucks,Miles Plumlee,,returned to lineup
2017-01-10,Bucks,Rashad Vaughn,,activated from IL
2017-01-10,Bulls,,Dwyane Wade,rest (DTD)
2017-01-10,Bulls,,Jimmy Butler,placed on IL with illness
2017-01-10,Bulls,,Nikola Mirotic,placed on IL with flu / strep throat
2017-01-10,Bulls,Denzel Valentine,,activated from IL
2017-01-10,Heat,Luke Babbitt,,returned to lineup
2017-01-10,Lakers,,Ivica Zubac,placed on IL
2017-01-10,Lakers,Ron Artest,,activated from IL
2017-01-10,Magic,,Serge Ibaka,sore right shoulder (DTD)
2017-01-10,Nets,,Trevor Booker,placed on IL with bruised left hip
2017-01-10,Pistons,,Jon Leuer,sore right knee (DTD)
2017-01-10,Spurs,,LaMarcus Aldridge,gastroenteritis (DTD)
2017-01-10,Spurs,David Lee,,returned to lineup
2017-01-10,Timberwolves,,Zach LaVine,bruised left hip (DTD)
2017-01-10,Warriors,,Klay Thompson,placed on IL for rest
2017-01-10,Warriors,James McAdoo ,,activated from IL
2017-01-10,Wizards,,Tomas Satoransky,illness (DTD)
2017-01-10,Hornets,Nicolas Batum,,activated from IL
2017-01-10,Hornets,,Nicolas Batum,hyperextended/strained right knee (DTD)
2017-01-10,Nets,Chris McCullough,,activated from IL
2017-01-11,Celtics,,Amir Johnson,sprained left ankle (DTD)
2017-01-11,Celtics,,Avery Bradley,strained Achilles (DTD)
2017-01-11,Celtics,,Jaylen Brown,sprained right ankle (DTD)
2017-01-11,Clippers,Austin Rivers,,returned to lineup
2017-01-11,Grizzlies,Deyonta Davis,,activated from IL
2017-01-11,Knicks,,Maurice N'dour,placed on IL
2017-01-11,Knicks,Mindaugas Kuzminskas,,activated from IL
2017-01-11,Mavericks,,Andrew Bogut,strained right hamstring (DTD)
2017-01-11,Pelicans,,Anthony Davis,placed on IL with bruised left hip
2017-01-11,Rockets,,Eric Gordon,placed on IL with sore left big toe
2017-01-11,Thunder,,Semaj Christon,placed on IL
2017-01-11,Thunder,Kyle Singler,,activated from IL
2017-01-11,Timberwolves,,Zach LaVine,placed on IL with bruised left hip
2017-01-12,Bucks,Michael Beasley,,activated from IL
2017-01-12,Bulls,,Denzel Valentine,flu (DTD)
2017-01-12,Bulls,Dwyane Wade,,returned to lineup
2017-01-12,Hornets,,Jeremy Lamb,sore foot (DTD)
2017-01-12,Knicks,,Kristaps Porzingis,placed on IL with sore left Achilles
2017-01-12,Lakers,,Ron Artest,placed on IL
2017-01-12,Lakers,Ivica Zubac,,activated from IL
2017-01-12,Nets,Trevor Booker,,activated from IL
2017-01-12,Nuggets,,Alonzo Gee,placed on IL
2017-01-12,Nuggets,,Darrell Arthur,placed on IL with sore left knee
2017-01-12,Nuggets,Gary Harris,,returned to lineup
2017-01-12,Nuggets,Nikola Jokic,,returned to lineup
2017-01-12,Pelicans,Omer Asik,,activated from IL
2017-01-12,Spurs,LaMarcus Aldridge,,returned to lineup
2017-01-12,Warriors,,James McAdoo ,placed on IL
2017-01-12,Warriors,Klay Thompson,,activated from IL
2017-01-12,Knicks,Maurice N'dour,,activated from IL
2017-01-12,Nets,,Chris McCullough,placed on IL
2017-01-13,Blazers,,Moe Harkless,strained left calf (DTD)
2017-01-13,Celtics,Amir Johnson,,returned to lineup
2017-01-13,Celtics,Jaylen Brown,,returned to lineup
2017-01-13,Grizzlies,,Wade Baldwin IV,placed on IL
2017-01-13,Grizzlies,Deyonta Davis,,activated from IL
2017-01-13,Hawks,Mike Dunleavy Jr.,,activated from IL
2017-01-13,Heat,,Willie Reed,bruised sternum (DTD)
2017-01-13,Hornets,Cody Zeller,,returned to lineup
2017-01-13,Hornets,Nicolas Batum,,returned to lineup
2017-01-13,Magic,Serge Ibaka,,returned to lineup
2017-01-13,Nets,,Isaiah Whitehead,placed on IL with knee injury
2017-01-13,Nets,Chris McCullough,,activated from IL
2017-01-13,Pistons,,Kentavious Caldwell-Pope,placed on IL with strained rotator cuff in left shoulder / rest
2017-01-13,Pistons,,Michael Gbinije,arm injury (DTD)
2017-01-13,Pistons,Reggie Bullock,,activated from IL
2017-01-13,Raptors,,Patrick Patterson,sore left knee (DTD)
2017-01-13,Rockets,Eric Gordon,,activated from IL
2017-01-13,Spurs,,Dejounte Murray,sprained right ankle (DTD)
2017-01-13,76ers,,Richaun Holmes,placed on IL with concussion
2017-01-14,Bulls,Denzel Valentine,,returned to lineup
2017-01-14,Bulls,Jimmy Butler,,activated from IL
2017-01-14,Jazz,,Joe Johnson,placed on IL for rest
2017-01-14,Jazz,Raul Neto,,activated from IL
2017-01-14,Lakers,,Luol Deng,placed on IL with sprained right wrist
2017-01-14,Lakers,Ron Artest,,activated from IL
2017-01-14,Magic,,Evan Fournier,sore right foot / heel (DTD)
2017-01-14,Pelicans,,Alex Ajinca,placed on IL
2017-01-14,Pelicans,Anthony Davis,,activated from IL
2017-01-14,Spurs,,Dejounte Murray,placed on IL with sprained right ankle
2017-01-14,Spurs,,Patty Mills,tightness in left calf (DTD)
2017-01-14,Suns,,Brandon Knight,sprained right wrist (DTD)
2017-01-14,Wizards,Tomas Satoransky,,returned to lineup
2017-01-14,Spurs,Bryn Forbes,,activated from IL
2017-01-15,Bulls,,Dwyane Wade,rest (DTD)
2017-01-15,Hawks,,Mike Muscala,sore/sprained left ankle (DTD)
2017-01-15,Jazz,,Rodney Hood,bruised right knee (DTD)
2017-01-15,Mavericks,,Andrew Bogut,placed on IL with strained right hamstring
2017-01-15,Nets,,Brook Lopez,placed on IL for rest
2017-01-15,Nets,Isaiah Whitehead,,activated from IL
2017-01-15,Rockets,,Chinanu Onuaku,placed on IL
2017-01-15,Rockets,Clint Capela,,activated from IL
2017-01-15,Timberwolves,Zach LaVine,,activated from IL
2017-01-15,Mavericks,Nicolas Brussino,,activated from IL
2017-01-16,76ers,,Nerlens Noel,sprained left ankle (DTD)
2017-01-16,76ers,,T.J. McConnell,sprained right wrist (DTD)
2017-01-16,Blazers,Moe Harkless,,returned to lineup
2017-01-16,Celtics,Avery Bradley,,activated from IL
2017-01-16,Celtics,Avery Bradley,,returned to lineup
2017-01-16,Hawks,,Dwight Howard,rest (DTD)
2017-01-16,Jazz,,Rodney Hood,placed on IL with bruised right knee
2017-01-16,Jazz,Joe Johnson,,activated from IL
2017-01-16,Knicks,,Lance Thomas,fractured orbital bone (out indefinitely)
2017-01-16,Knicks,,Lance Thomas,placed on IL with fractured orbital bone
2017-01-16,Knicks,Marshall Plumlee,,activated from IL
2017-01-16,Nuggets,,Gary Harris,sprained right ankle (DTD)
2017-01-16,Pelicans,,Cheick Diallo,placed on IL
2017-01-16,Pelicans,Alex Ajinca,,activated from IL
2017-01-16,Suns,,Jared Dudley,dizziness (DTD)
2017-01-16,Suns,,Tyson Chandler,gastroenteritis (DTD)
2017-01-16,Thunder,,Steven Adams,concussion (DTD)
2017-01-16,Warriors,,Anderson Varejao,placed on IL
2017-01-16,Warriors,James McAdoo ,,activated from IL
2017-01-17,Blazers,,Ed Davis ,sprained left ankle (DTD)
2017-01-17,Bulls,,Taj Gibson,placed on IL with sore left ankle
2017-01-17,Bulls,Dwyane Wade,,returned to lineup
2017-01-17,Bulls,Nikola Mirotic,,activated from IL
2017-01-17,Heat,Willie Reed,,returned to lineup
2017-01-17,Kings,,Omri Casspi,strained right calf (DTD)
2017-01-17,Nets,,Chris McCullough,placed on IL
2017-01-17,Nets,Brook Lopez,,activated from IL
2017-01-17,Nuggets,,Gary Harris,placed on IL
2017-01-17,Nuggets,Alonzo Gee,,activated from IL
2017-01-17,Rockets,,Ryan Anderson,flu (DTD)
2017-01-17,Rockets,Clint Capela,,activated from IL
2017-01-17,Spurs,Patty Mills,,returned to lineup
2017-01-17,Clippers,,Chris Paul,torn ligament in left thumb (DTD)
2017-01-17,Clippers,,Chris Paul,surgery on left thumb to repair torn ligament (out indefinitely)
2017-01-18,76ers,Nerlens Noel,,returned to lineup
2017-01-18,76ers,T.J. McConnell,,returned to lineup
2017-01-18,Celtics,,Avery Bradley,sore right Achilles (DTD)
2017-01-18,Hawks,,Mike Muscala,placed on IL with sore/sprained left ankle
2017-01-18,Kings,,Omri Casspi,placed on IL with strained right calf
2017-01-18,Kings,,Ty Lawson,sprained left ankle (DTD)
2017-01-18,Kings,Skal Labissiere,,activated from IL
2017-01-18,Knicks,,Joakim Noah,placed on IL with sprained left ankle
2017-01-18,Magic,,Jodie Meeks,dislocated right thumb (DTD)
2017-01-18,Pistons,,Jon Leuer,placed on IL with bone bruise in right knee
2017-01-18,Pistons,Michael Gbinije,,activated from IL
2017-01-18,Raptors,,Lucas Nogueira,placed on IL with concussion
2017-01-18,Raptors,Jared Sullinger,,activated from IL
2017-01-18,Warriors,,David West,fractured left thumb (DTD)
2017-01-18,Warriors,,James McAdoo ,placed on IL
2017-01-18,Warriors,Anderson Varejao,,activated from IL
2017-01-18,Kings,,Rudy Gay,torn left Achilles tendon (out for season)
2017-01-18,Knicks,Kristaps Porzingis,,activated from IL
2017-01-18,Knicks,,Kristaps Porzingis,sore left Achilles (DTD)
2017-01-19,Cavaliers,,Kevin Love,sore lower back (DTD)
2017-01-19,Heat,,Justise Winslow,placed on IL recovering from surgery on right shoulder to repair torn labrum (out for season)
2017-01-19,Nuggets,,Danilo Gallinari,sprained right ankle (DTD)
2017-01-19,Nuggets,Gary Harris,,activated from IL
2017-01-19,Spurs,, Tony Parker,sore left foot (DTD)
2017-01-19,Spurs,,Bryn Forbes,placed on IL
2017-01-19,Spurs,,Pau Gasol,fractured left ring finger (DTD)
2017-01-19,Spurs,Dejounte Murray,,activated from IL
2017-01-19,Suns,Brandon Knight,,returned to lineup
2017-01-19,Suns,Jared Dudley,,returned to lineup
2017-01-19,Suns,Tyson Chandler,,returned to lineup
2017-01-19,Kings,,Rudy Gay,surgery to repair torn left Achilles tendon (out for season)
2017-01-20,76ers,,Joel Embiid,bruised left knee (DTD)
2017-01-20,Blazers,Ed Davis ,,returned to lineup
2017-01-20,Bulls,,Isaiah Canaan,placed on IL
2017-01-20,Bulls,Taj Gibson,,activated from IL
2017-01-20,Grizzlies,,Chandler Parsons,rest (DTD)
2017-01-20,Jazz,,Rodney Hood,placed on IL
2017-01-20,Kings,,Rudy Gay,placed on IL recovering from surgery to repair torn left Achilles tendon (out for season)
2017-01-20,Kings,Giorgios Papagiannis ,,activated from IL
2017-01-20,Kings,Ty Lawson,,returned to lineup
2017-01-20,Magic,,C.J. Wilcox,tendinitis in knee / left Achilles tendon (DTD)
2017-01-20,Mavericks,,Jose Barea ,strained left calf (DTD)
2017-01-20,Pelicans,,Alex Ajinca,placed on IL
2017-01-20,Pelicans,Cheick Diallo,,activated from IL
2017-01-20,Raptors,,Patrick Patterson,placed on IL with sore left knee
2017-01-20,Raptors,Delon Wright,,activated from IL
2017-01-20,Rockets,Ryan Anderson,,returned to lineup
2017-01-20,Spurs,,Pau Gasol,surgery on left ring finger to repair fracture (out indefinitely)
2017-01-20,Warriors,,David West,placed on IL with fractured left thumb
2017-01-20,Warriors,James McAdoo ,,activated from IL
2017-01-20,Hornets,Christian Wood,,activated from IL
2017-01-21,76ers,,Joel Embiid,rest (DTD)
2017-01-21,Blazers,,Ed Davis ,sprained left ankle (DTD)
2017-01-21,Cavaliers,Kevin Love,,returned to lineup
2017-01-21,Celtics,,Avery Bradley,placed on IL with sore/strained right Achilles
2017-01-21,Celtics,,Demetrius Jackson,illness (DTD)
2017-01-21,Celtics,,Jonas Jerebko,placed on IL with illness
2017-01-21,Celtics,James Young,,activated from IL
2017-01-21,Grizzlies,,Troy Daniels,sprained MCL in right knee (DTD)
2017-01-21,Grizzlies,Chandler Parsons,,returned to lineup
2017-01-21,Heat,,Tyler Johnson,sprained/strained left shoulder (DTD)
2017-01-21,Hornets,,Jeremy Lamb,placed on IL with sore foot
2017-01-21,Jazz,Rodney Hood,,activated from IL
2017-01-21,Knicks,,Marshall Plumlee,placed on IL
2017-01-21,Knicks,Joakim Noah,,activated from IL
2017-01-21,Lakers,,D'Angelo Russell,strained left calf / sprained ligament in right knee (DTD)
2017-01-21,Nets,,Joe Harris,sprained left ankle (DTD)
2017-01-21,Nuggets,,Gary Harris,placed on IL
2017-01-21,Nuggets,Danilo Gallinari,,returned to lineup
2017-01-21,Nuggets,Darrell Arthur,,activated from IL
2017-01-21,Pistons,,Michael Gbinije,placed on IL with arm injury
2017-01-21,Pistons,Jon Leuer,,activated from IL
2017-01-21,Rockets,,Ryan Anderson,illness (DTD)
2017-01-21,Spurs,,Pau Gasol,placed on IL recovering from surgery on left ring finger to repair fracture
2017-01-21,Spurs,Bryn Forbes,,activated from IL
2017-01-21,Celtics,Tyler Zeller,,activated from IL
2017-01-21,Celtics,,Tyler Zeller,sinus infection (DTD)
2017-01-21,76ers,Richaun Holmes,,activated from IL
2017-01-22,Lakers,,D'Angelo Russell,placed on IL with strained left calf / sprained ligament in right knee
2017-01-22,Lakers,,Ron Artest,placed on IL
2017-01-22,Lakers,Larry Nance Jr.,,activated from IL
2017-01-22,Lakers,Luol Deng,,activated from IL
2017-01-22,Magic,,Jodie Meeks,placed on IL with dislocated right thumb (DTD)
2017-01-22,Mavericks,,Jose Barea ,strained left calf (DTD)
2017-01-22,Nuggets,,Emmanuel Mudiay,placed on IL with sore lower back
2017-01-22,Nuggets,Gary Harris,,activated from IL
2017-01-22,Raptors,,Delon Wright,placed on IL with right shoulder injury
2017-01-22,Raptors,,DeMar DeRozan,sprained right ankle (DTD)
2017-01-22,Raptors,Lucas Nogueira,,activated from IL
2017-01-22,Raptors,Patrick Patterson,,activated from IL
2017-01-22,Spurs,,Manu Ginobili,sore back / back spasms (DTD)
2017-01-22,Suns,,Dragan Bender,sore right ankle (DTD)
2017-01-22,Timberwolves,,Ricky Rubio,sore hip (DTD)
2017-01-22,Timberwolves,,Ricky Rubio,placed on IL for personal reasons
2017-01-22,Warriors,,Shaun Livingston,placed on IL for rest
2017-01-22,Warriors,Damian Jones,,activated from IL
2017-01-23,Celtics,,Gerald Green ,illness (DTD)
2017-01-23,Hornets,,Brian Roberts,illness (DTD)
2017-01-23,Mavericks,,Wes Matthews Jr.,strained right hip (DTD)
2017-01-23,Nets,,Joe Harris,placed on IL with sprained left ankle
2017-01-23,Pacers,,Aaron Brooks,placed on IL with sore right knee
2017-01-23,Pelicans,,Anthony Davis,placed on IL with bruised right quadriceps
2017-01-23,Pelicans,Alex Ajinca,,activated from IL
2017-01-23,Pistons,,Henry Ellenson,placed on IL
2017-01-23,Pistons,Kentavious Caldwell-Pope,,activated from IL
2017-01-23,Rockets,Ryan Anderson,,returned to lineup
2017-01-23,Spurs,,Kawhi Leonard,sore left hand (DTD)
2017-01-23,Thunder,Steven Adams,,returned to lineup
2017-01-23,Warriors,,Andre Iguodala,placed on IL for rest
2017-01-23,Warriors,Shaun Livingston,,activated from IL
2017-01-23,Nets,Chris McCullough,,activated from IL
2017-01-23,Pacers,Rakeem Christmas,,activated from IL
2017-01-24,76ers,,Jahlil Okafor,sore right knee (DTD)
2017-01-24,Celtics,,Gerald Green ,placed on IL with illness
2017-01-24,Celtics,Jonas Jerebko,,activated from IL
2017-01-24,Celtics,Tyler Zeller,,activated from IL
2017-01-24,Clippers,Blake Griffin,,activated from IL
2017-01-24,Magic,,D.J. Augustine,sprained right ankle (DTD)
2017-01-24,Magic,,Jodie Meeks,surgery on dislocated right thumb (out indefinitely)
2017-01-24,Raptors,,DeMar DeRozan,placed on IL with sprained right ankle
2017-01-24,Raptors,Lucas Nogueira,,activated from IL
2017-01-24,Raptors,Patrick Patterson,,returned to lineup
2017-01-24,Spurs,, Tony Parker,placed on IL with sore left foot
2017-01-24,Spurs,,Jonathon Simmons,sprained right wrist (DTD)
2017-01-24,Spurs,Manu Ginobili,,returned to lineup
2017-01-24,Suns,,Jared Dudley,placed on IL with flu
2017-01-24,Suns,Derrick Jones Jr.,,activated from IL
2017-01-24,Timberwolves,Ricky Rubio,,activated from IL
2017-01-24,76ers,Joel Embiid,,returned to lineup
2017-01-24,76ers,,Joel Embiid,bruised left knee (DTD)
2017-01-25,Blazers,,Ed Davis ,sprained wrist / left ankle injury (DTD)
2017-01-25,Blazers,,Moe Harkless,strained left calf (DTD)
2017-01-25,Blazers,,Tim Quarterman,sprained left ankle (DTD)
2017-01-25,Celtics,,Demetrius Jackson,placed on IL with illness
2017-01-25,Celtics,Gerald Green ,,activated from IL
2017-01-25,Grizzlies,,Chandler Parsons,sore left knee (DTD)
2017-01-25,Grizzlies,,JaMychal Green,sore left knee (DTD)
2017-01-25,Hornets,,Cody Zeller,placed on IL with bruised quadriceps
2017-01-25,Hornets,Brian Roberts,,returned to lineup
2017-01-25,Hornets,Jeremy Lamb,,activated from IL
2017-01-25,Mavericks,,Deron Williams,sprained left big toe (DTD)
2017-01-25,Mavericks,,Jose Barea ,placed on IL with strained hamstring
2017-01-25,Mavericks,Andrew Bogut,,activated from IL
2017-01-25,Pelicans,,Cheick Diallo,placed on IL
2017-01-25,Pelicans,Anthony Davis,,activated from IL
2017-01-25,Rockets,,Eric Gordon,sore lower back / back spasms (DTD)
2017-01-25,Warriors,,Damian Jones,placed on IL
2017-01-25,Warriors,Andre Iguodala,,activated from IL
2017-01-26,Jazz,,Raul Neto,placed on IL
2017-01-26,Jazz,Rodney Hood,,activated from IL
2017-01-26,Lakers,,Julius Randle,illness (DTD)
2017-01-26,Mavericks,,Deron Williams,placed on IL with sprained left big toe
2017-01-26,Mavericks,,Dirk Nowitzki,rest (DTD)
2017-01-26,Pacers,,Kevin Seraphin,placed on IL with sore left knee
2017-01-26,Pacers,Aaron Brooks,,activated from IL
2017-01-26,Suns,,Dragan Bender,placed on IL with sore right ankle
2017-01-26,Suns,Jared Dudley,,activated from IL
2017-01-26,Thunder,,Enes Kanter,fractured right arm / hand (out indefinitely)
2017-01-26,Mavericks,A.J. Hammons,,activated from IL
2017-01-27,76ers,Joel Embiid,,returned to lineup
2017-01-27,Blazers,,Ed Davis ,placed on IL with sprained left wrist
